,0,1
11781,2016-04-29 00:32:21.526916504,
11782,2016-04-29 00:32:45.928405762,
11783,2016-04-29 00:33:07.629730225,
11784,2016-04-29 00:35:00.836639404,
11785,2016-04-29 01:26:12.304382324,
11786,2016-04-29 01:26:59.407257080,
11787,2016-04-29 01:29:25.716186523,
11788,2016-04-29 01:34:19.934143066,
11789,2016-04-29 02:26:20.404876709,
11790,2016-04-29 02:29:33.916687012,
11791,2016-04-29 02:30:35.020416260,
11792,2016-04-29 02:33:52.932495117,
11793,2016-04-29 02:36:10.240875244,
11794,2016-04-29 03:25:28.501708983,
11795,2016-04-29 03:26:25.705200195,
11796,2016-04-29 03:28:30.312805176,
11797,2016-04-29 03:33:49.832305908,
11798,2016-04-29 05:31:40.124389648,
11799,2016-04-29 06:25:54.603302002,
11800,2016-04-29 06:27:29.509094238,
11801,2016-04-29 08:31:47.224822998,
11802,2016-04-29 09:29:59.618255615,
11803,2016-04-29 09:30:28.820037842,
11804,2016-04-29 09:30:43.220916748,
11805,2016-04-29 09:31:12.222686768,
11806,2016-04-29 09:33:08.829803467,
11807,2016-04-29 10:28:42.513549805,
11808,2016-04-29 11:28:01.311035156,
11809,2016-04-29 11:31:33.924011230,
11810,2016-04-29 13:28:06.011322021,
11811,2016-04-29 13:28:07.611419678,
11812,2016-04-29 14:26:43.306274414,
11813,2016-04-29 14:30:46.221099854,
11814,2016-04-29 14:31:12.022674561,
11815,2016-04-29 14:32:08.726135254,
11816,2016-04-29 14:33:06.629669189,
11817,2016-04-29 14:33:51.032379150,
11818,2016-04-29 14:35:12.837371826,
11819,2016-04-29 15:36:27.241912842,
11820,2016-04-29 16:25:28.201690674,
11821,2016-04-29 16:26:30.405487061,
11822,2016-04-29 16:28:07.711425781,
11823,2016-04-29 16:28:41.513488770,
11824,2016-04-29 16:29:19.815826416,
11825,2016-04-29 16:29:43.417266846,
11826,2016-04-29 16:29:50.617706299,
11827,2016-04-29 16:31:03.022125244,
11828,2016-04-29 16:31:58.625518799,
11829,2016-04-29 16:32:35.627777100,
11830,2016-04-29 16:33:54.032562255,
11831,2016-04-29 16:35:29.138366699,
11832,2016-04-29 16:36:33.542297363,
11833,2016-04-29 17:26:04.703918457,
11834,2016-04-29 17:28:25.112487793,
11835,2016-04-29 17:32:40.028045654,
11836,2016-04-29 17:33:35.431427002,
11837,2016-04-29 17:36:03.740478516,
11838,2016-04-29 18:29:58.918212891,
11839,2016-04-29 18:30:31.220184326,
11840,2016-04-29 18:33:10.929931641,
11841,2016-04-29 18:33:11.929992676,
11842,2016-04-29 18:34:19.234100342,
11843,2016-04-29 19:26:39.806060791,
11844,2016-04-29 19:29:22.015960693,
11845,2016-04-29 19:30:10.518920897,
11846,2016-04-29 20:30:16.019256592,
11847,2016-04-29 20:32:13.526428223,
11848,2016-04-29 20:36:13.441070557,
11849,2016-04-29 21:32:12.726379395,
11850,2016-04-29 22:28:36.013153076,
11851,2016-04-29 22:29:36.316833496,
11852,2016-04-29 22:31:11.122619629,
11853,2016-04-29 22:31:46.324768066,
11854,2016-04-29 22:32:39.328002930,
11855,2016-04-29 22:33:44.932006836,
11856,2016-04-29 22:34:07.033355713,
11857,2016-04-29 23:26:32.205596924,
11858,2016-04-29 23:27:13.408111572,
11859,2016-04-29 23:29:39.317016602,
